id;direccion;latitud;longitud;nombre
115; ;-38262559300;-57841714000;Miramar - Terminal (Buenos Aires - ARG)
116; ;-30269964700;-57957687400;Monte Caseros - Cruce (Corrientes - ARG)
117; ;-38548297281;-58731181366;Necochea - Terminal (Buenos Aires - ARG)
121; ;-38991799169;-64105310364;Rio Colorado - Terminal (Rio Negro - ARG)
122; ;-40160464000;-71357872200;San Martin de los Andes - Terminal (Neuquen - ARG)
124; ;-38714861600;-72566821600;Temuco Chile (Novena Region - CHL)
125; ;-38368919500;-60286021800;Tres Arroyos - Terminal (Buenos Aires - ARG)
126; ;-26690736400;-54821133600;El Alcazar - Acceso (Misiones - ARG)
129; ;-38942028900;-68008214200;Cipolletti - Terminal (Rio Negro - ARG)
131; ;-42905874200;-71313858500;Esquel - Terminal (Chubut - ARG)
134;Onelly+-+Esquina+Gral+Roca ;-41963716400;-71536786300;El Bolson (Rio Negro - ARG)
135;Parador+-+Ruta+3+y+6%2C+Ca%C3%B1uelas%2C+Buenos+Aires ;-35026937000;-58744582000;Ca\xc3\xb1uelas - AXION (Buenos Aires - ARG)
136; ;-33043421600;-58623248200;Gualeguaychu - Parador el Tague (Entre Rios - ARG)
137; ;-26808204900;-55020700700;Puerto Rico - Terminal (Misiones - ARG)
140; ;-37876267700;-67795161000;Colonia Catriel - Terminal (Rio Negro - ARG)
146; ;-27470505900;-55749762700;Candelaria - Agencia (Misiones - ARG)
147; ;-40820759600;-63005572600;Viedma - Terminal (Rio Negro - ARG)
148; ;-34583377900;-59101909700;Lujan - ESSO (Buenos Aires - ARG)
149; ;-39425142400;-65701133600;Lamarque - Terminal (Rio Negro - ARG)
150; ;-39485553100;-65606902200;Pomona (Rio Negro - ARG)
152; ;-40109284500;-64452946200;General Conesa - Terminal (Rio Negro - ARG)
156; ; ;;San Javier (Misiones - ARG)
159;Ruta+14+Y+Ruta+135%2C+Colon ;-32258902500;-58237495400;Colon - Cruce SHELL (Entre Rios - ARG)
160; ;-37310861600;-59975786800;Chillar - Rotonda (Buenos Aires - ARG)
161; ;-38870812900;-63109513500;Algarrobo - Cruce (Buenos Aires - ARG)
163; ;-37647156700;-59858397200;Benito Juarez - Parador La Rueda (Buenos Aires - ARG)
165; ;-26411002800;-54606401300;Eldorado - Terminal (Misiones - ARG)
166; ;-32939468600;-60670718300;Rosario - Terminal (Santa Fe - ARG)
167; ;-31643265100;-60700635000;Santa Fe - Terminal (Santa Fe - ARG)
168; ;-24221214700;-65272200100;San Salvador - Terminal (Entre Rios - ARG)
169; ;-29724326300;-57094418400;Paso de los Libres - Terminal (Corrientes - ARG)
170; ; ;;Villaguay - Acceso en Ruta (Entre Rios - ARG)
171; ;-27142294900;-55405082700;Santo Pipo - Terminal (Misiones - ARG)
172; ;-27770529100;-55772877900;San Jose - Agencia (Misiones - ARG)
173; ;-31032931600;-58072700500;Federacion - Cruce (Entre Rios - ARG)
174; ;-31794065900;-58317446700;Ubajay - Parador Gastiazoro (Entre Rios - ARG)
175; ;-31385250400;-58014816700;Concordia - Terminal (Entre Rios - ARG)
176; ;-31739815000;-60517528700;Parana - Terminal (Entre Rios - ARG)
179; ;-36619919400;-64280716200;Santa Rosa Terminal (La Pampa - ARG)
180; ;-40793944800;-65077589800;Las Grutas - Terminal (Rio Negro - ARG)
181; ;-40733307600;-64950099000;San Antonio Oeste - Terminal (Rio Negro - ARG)
189;Ruta+40+km+1961 ;-41654865900;-71460061700;El Foyel (Rio Negro - ARG)
190;Gendarmeria+Nacional+-+RN+40 ;-41586840800;-71492092600;Rio Villegas (Rio Negro - ARG)
192;Escuela+Mascardi%2CRN+40+KM+2003 ;-41349527100;-71509527000;Villa Mascardi (Rio Negro - ARG)
193; ;-42065128900;-71522954100;El Hoyo (Chubut - ARG)
194; ;-42383908400;-71110897100;Leleque (Chubut - ARG)
195;RN40%2C+U9211+Cushamen%2C+Chubut ;-42231655602;-71352150347;Epuyen (Chubut - ARG)
196;RN+40+KM+1933 ;-41855212000;-71432020000;Los Repollos (Rio Negro - ARG)
197;+Casa+del+Lago-+R.N.+40+%E2%80%93+km+2020 ;-41234095000;-71427414000;Lago Gutierrez (Rio Negro - ARG)
198; ;-41055565800;-71148600900;Refugio  Limay (Rio Negro - ARG)
199; ;-40894854000;-71040290600;Villa Llanquin (Neuquen - ARG)
201; ;-41608455600;-65353932400;Sierra Grande (Rio Negro - ARG)
205; ;-34647941000;-58794151000;Moreno - Centro Mitre 3108 (Buenos Aires - ARG)
207; ;-49304354600;-67736117500;Puerto San Julian - Terminal (Santa Cruz - ARG)
209; ;-39247285100;-68798972400;El Chocon - Estacion de Servicio (Neuquen - ARG)
210; ;-28546429900;-56043931200;Santo Tome - Terminal (Corrientes - ARG)
212; ;-38141884200;-65912872600;Puelches - Parador 300 (La Pampa - ARG)
213; ; ;;Colon (Buenos Aires - ARG)
214; ;-34190724400;-58948190000;Campana - Terminal (Buenos Aires - ARG)
217; ;-40653530600;-71399867500;Villa Traful - Agencia (Neuquen - ARG)
220; ;-42765430100;-65040736200;Puerto Madryn - Terminal (Chubut - ARG)
222; ;-43303874300;-65097542700;Rawson (Chubut - ARG)
223; ;-44689067600;-66623561400;Garayalde - YPF (Chubut - ARG)
224;Carlos+Pellegrini ;-45863210000;-67480765000;Comodoro Rivadavia - Terminal (Chubut - ARG)
226; ;-26016989000;-54649944300;Puerto Esperanza - Terminal (Misiones - ARG)
228; ;-26628201900;-54122729300;San Pedro - Terminal (Misiones - ARG)
229; ;-27020194300;-54684308800;2 de Mayo - Agencia (Misiones - ARG)
230; ;-43248578800;-65302938200;Trelew - Terminal (Chubut - ARG)
234; ;-38020001600;-60111565600;Gonzalez Chavez - Acceso Rotonda (Buenos Aires - ARG)
